,SPECOBJID,RA,DEC
329,b'    398712907988232192',261.91383,61.480903
330,b'    399708790577981440',260.07363,56.795774
331,b'    399833035391920128',259.0378,57.561061
332,b'    399861347816335360',260.67708,58.504772
333,b'    400920177362888704',261.00614,59.814903
334,b'    401965813491329024',261.81323,55.557693
335,b'    401984230311094272',260.14282,54.749118
336,b'    401993301282023424',260.81869,55.485756
337,b'    402015291514578944',259.40499,54.834293
338,b'    402057072956434432',259.76441,56.416276
339,b'    403159883202979840',261.33158,56.485473
340,b'    403195892208789504',263.32288,57.887526
341,b'    403237948528551936',264.94541,57.800523
342,b'    404262693415970816',260.65898,53.600462
343,b'    404322891677591552',261.59772,54.199826
344,b'    404339384352008192',262.0952,53.888395
345,b'    405370450693089280',264.66863,54.107425
346,b'    405454838210521088',263.28389,54.545629
347,b'    405488648193075200',265.53383,54.562383
348,b'    405325921076144128',265.8934,53.878901
349,b'    405372925198231552',264.66863,54.107425
350,b'    405488648797054976',265.53383,54.562383
351,b'    407577449082152960',265.8934,53.878901
352,b'    407621979303077888',264.66863,54.107425
353,b'    407657438553073664',262.87895,53.434173
354,b'    407730556076320768',265.21414,55.5666
355,b'    407739077291436032',265.53383,54.562383
356,b'    408759149036333056',232.78171,-1.1109827
357,b'    408808627059582976',232.66137,0.28044684
358,b'    408858379960739840',233.26601,1.2179663
359,b'    409832547447498752',247.41627,-0.96726421
360,b'    409858660848658432',246.87946,0.050724538
361,b'    409876253034702848',246.23472,0.011209924
362,b'    409919683744000000',245.41766,0.94691908
363,b'    409968612011436032',246.76384,0.50924888
364,b'    409975209081202688',246.89758,0.82022766
365,b'    409984554930038784',247.14318,1.123483
366,b'    409987303709108224',247.49273,0.47706467
367,b'    413227014670018560',261.81323,55.557693
368,b'    413242682710714368',260.14282,54.749118
369,b'    413254502460712960',260.81869,55.485756
370,b'    413272919280478208',259.40499,54.834293
371,b'    413284189274662912',259.02738,54.800975
372,b'    413316624867682304',259.70095,56.531073
373,b'    413320748036286464',259.76441,56.416276
374,b'    413374898983954432',262.04073,56.356792
375,b'    417786415871453184',327.19725,-1.049783
376,b'    417806756836567040',326.92347,0.39680574
377,b'    418860365447718912',330.1726,-0.86768044
378,b'    418902421767481344',329.32219,-0.83369955
379,b'    418931833703524352',328.51154,0.37498357
380,b'    418996704889563136',330.81835,0.025244207
381,b'    419988732796495872',332.27986,-0.3270053
382,b'    420035462040676352',331.07145,-0.46929504
383,b'    420106105662760960',332.16933,0.96741201
384,b'    421231730742028288',333.97729,1.0499034
385,b'    421238602689701888',334.17618,0.35842282
386,b'    423358192135727104',338.10208,-0.57760548
387,b'    423444228920600576',336.55971,0.33903879
388,b'    424547863750535168',338.24583,-0.41704287
389,b'    426720492754331648',344.37823,-0.68852764
390,b'    427888174153361408',345.24469,-0.46530726
391,b'    427912088531265536',344.71945,-0.89288115
392,b'    427917586089404416',344.26335,-0.38550162
393,b'    427965689723119616',345.16014,1.2194674
394,b'    429001979751065600',347.46354,-1.2415973
395,b'    429076196785940480',346.36438,0.26228185
396,b'    429091864826636288',347.3407,0.67013697
397,b'    430154542898767872',348.58983,-0.5399647
398,b'    431304082339162112',350.2119,-0.29216935
399,b'    431365929868224512',351.61627,0.8559583
400,b'    431383522054268928',351.8718,0.082551099
401,b'    432436029610289152',352.49488,1.115991
402,b'    433474519282247680',356.27555,-0.91765285
403,b'    433498158782244864',355.69202,-1.1631722
404,b'    433645493340366848',356.45912,0.13609167
405,b'    434647146940098560',357.72215,-0.39816307
406,b'    434690852527302656',356.7743,1.177112
407,b'    434692776672651264',356.45912,0.13609167
408,b'    434704871300556800',357.23344,0.13603377
409,b'    434722188608694272',357.89056,0.98491044
410,b'    435828847112382464',359.53099,0.62011396
411,b'    436929733163247616',1.259512,-0.73015927
412,b'    437010547267889152',2.9475008,0.49997492
413,b'    437977292900165632',4.4739792,-1.0067887
414,b'    438062779929225216',2.5733473,-0.37224232
415,b'    438070476510619648',2.4704246,0.23504635
416,b'    438103186981545984',3.6547584,0.5081663
417,b'    439131780461651968',5.7254525,-0.2730311
418,b'    439180708729088000',4.4739792,-1.0067887
419,b'    439200499938387968',4.7312605,0.80320507
420,b'    439229911874430976',5.4210577,0.48293937
421,b'    439133431138379776',5.7254525,-0.2730311
422,b'    439181259894188032',4.4739792,-1.0067887
423,b'    439204899394185216',4.7312605,0.80320507
424,b'    439230188161624064',5.4210577,0.48293937
425,b'    440287916367833088',6.9592503,-0.55778177
426,b'    440304958798063616',6.1143808,-0.728796
427,b'    441410517924341760',8.5782955,-0.95747703
428,b'    441418489383643136',8.7070959,0.080836779
429,b'    442499309330524160',11.865183,-0.31081646
430,b'    442597440743303168',10.731858,0.33480115
431,b'    444816804779419648',13.895101,-0.36763688
432,b'    444894870104991744',15.480451,-0.17464371
433,b'    444906140099176448',15.953597,-0.21238281
434,b'    445911369158518784',15.953597,-0.21238281
435,b'    445953150600374272',15.099855,0.40578631
436,b'    445968818641070080',16.110993,0.85075552
437,b'    445976790100371456',15.542601,-0.10314723
438,b'    446021595199203328',17.325796,1.1403648
439,b'    446026817879435264',17.338159,0.90707843
440,b'    446985591649757184',18.909327,-0.66739358
441,b'    447145020835784704',19.012025,0.10971766
442,b'    447148044492761088',19.051321,0.96361761
443,b'    448148050234337280',19.820899,-0.33652176
444,b'    448156846327359488',19.744553,-0.16282163
445,b'    448198352891308032',18.977568,0.99820923
446,b'    448274494071531520',20.986776,0.90639283
447,b'    449308860105123840',20.475663,-0.086145673
448,b'    449391323477207040',22.182553,0.92762314
449,b'    450411945196021760',23.506833,-0.42124104
450,b'    450472418335549440',23.167167,0.86839234
451,b'    450515849044846592',24.346916,1.1592965
452,b'    450532341719263232',24.99758,0.32744961
453,b'    451615085257844736',25.400208,0.54891089
454,b'    451660714990397440',26.374661,0.25317128
